FinalWgt,CR1,CR2,MMR3,MMR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,MMR13,CR13,CR14,CR15,CR16,CR17,CR18,OR11,OR13,CR19,CR20,CR21,CR22,CR23,CR24,CR25,MMR29,CR27,CR28,MMR32,MMR33,OR21,OR22,OR24,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,SLR1,SLR2,SLR3,SLR4,SLR5,SLR6,SLR7,SLR8,SLR9,MMR60,SLR11,SLR12,SLR13,SLR14,SLR15,SLR16,SLR17,OR1,MMR69,OR45,OR53,OR56,OR57,MMR74,OR61,Stratum,PSU
192.8127903,5,1,4,6,1,6,5,6,1,2,2,7,5,2,2,3,4,2,2,4,7,1,1,1,1,3,1,1,2,3,2,4,8,4,2,1,1,2,3,2,3,3,3,2,2,3,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,5,4,5,1,4,2,2,3,1,201601001,2
192.8127903,5,1,4,6,2,1,1,1,2,2,1,1,1,,,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,8,1,1,3,1,1,1,3,1,1,1,3,2,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,4,1,4,3,4,1,2,2,1,201601001,2
192.8127903,5,1,4,,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,2,2,3,2,1,3,2,2,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,2,2,3,1,4,1,3,4,1,201601001,2
192.8127903,6,1,4,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,2,1,1,3,1,2,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,2,5,3,4,1,4,1,1,2,1,201601001,2
192.8127903,6,1,4,2,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,1,1,1,1,2,3,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,3,3,3,4,2,2,2,1,201601001,2
192.8127903,6,1,4,3,1,7,2,2,2,2,2,2,5,2,2,2,2,2,2,4,3,1,1,1,2,4,1,1,5,1,1,8,1,1,3,2,1,3,2,2,2,,3,2,2,1,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,2,3,5,1,4,2,2,1,1,201601001,2
192.8127903,6,1,4,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,1,1,1,1,1,2,1,1,3,1,1,1,3,1,3,1,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,2,3,2,2,3,2,2,2,1,201601001,2
192.8127903,6,1,4,3,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,8,1,1,3,1,1,1,3,3,1,1,3,2,2,1,2,3,2,5,1,1,1,2,1,1,1,1,1,1,1,3,2,1,4,2,5,3,2,1,4,1,2,3,2,201601001,2
192.8127903,6,1,4,4,1,5,2,2,1,1,2,2,7,2,2,2,1,4,5,5,5,1,1,1,2,4,2,1,1,1,1,3,1,1,2,1,1,1,1,1,3,2,2,2,1,1,1,4,3,5,6,2,2,1,2,3,3,2,5,3,1,1,2,3,2,2,4,3,3,3,1,1,2,2,1,201601001,2
192.8127903,6,1,4,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,8,1,1,3,2,1,3,1,3,2,1,2,2,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,4,3,2,3,4,1,2,3,1,201601001,2
192.8127903,6,1,4,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,2,2,1,1,2,3,3,3,2,2,1,1,3,2,5,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,5,5,7,3,3,2,3,3,1,201601001,2
192.8127903,6,1,4,6,1,6,2,3,2,2,2,2,5,1,1,2,3,2,3,4,3,1,1,1,2,4,1,1,3,3,3,3,3,2,2,1,1,2,2,1,2,2,3,2,2,1,2,1,3,5,1,1,2,2,2,2,1,1,1,1,1,2,2,1,3,3,5,1,5,1,4,1,2,2,,201601001,2
192.8127903,6,1,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,8,1,1,1,1,2,1,3,3,2,1,3,2,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,4,1,2,1,4,2,3,4,1,201601001,2
192.8127903,6,1,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,1,3,3,1,3,3,2,2,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,1,5,3,4,3,4,1,2,3,1,201601001,2
192.8127903,6,1,4,7,1,5,1,1,2,2,2,2,1,2,2,2,2,2,3,3,7,1,1,1,2,2,1,1,1,1,1,3,1,4,2,1,2,1,3,3,3,3,3,2,2,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,4,2,2,2,4,2,2,4,1,201601001,2
192.8127903,7,1,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,8,1,1,3,1,1,1,2,3,2,1,3,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,5,1,4,3,4,1,3,2,1,201601001,2
201.0401599,4,2,4,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,5,5,2,2,3,1,1,1,2,3,2,1,5,1,1,2,1,1,1,2,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,2,3,2,1,4,2,5,3,5,3,4,1,2,3,1,201601002,3
201.0401599,4,2,4,7,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,3,2,3,4,2,2,3,1,201601002,3
201.0401599,5,2,4,5,1,6,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,4,3,4,1,4,1,1,1,1,1,8,1,1,3,1,1,1,1,1,2,3,3,2,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,2,4,1,4,1,2,4,1,201601002,3
201.0401599,5,2,4,5,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,5,3,2,4,1,2,1,3,3,1,1,5,3,1,1,2,2,1,2,2,2,2,2,1,1,4,1,4,5,2,2,2,2,3,3,2,1,1,3,2,2,1,1,3,4,3,3,1,3,1,3,2,1,201601002,3
201.0401599,5,2,4,6,1,6,3,3,2,2,2,8,5,2,2,4,1,3,2,5,2,5,1,1,2,3,1,2,2,3,2,3,3,1,3,2,1,3,1,1,2,3,3,2,2,3,2,3,2,1,7,1,1,2,2,1,1,1,1,1,1,2,2,1,3,2,1,3,5,3,3,3,3,3,2,201601002,3
201.0401599,5,2,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,2,1,1,3,1,1,3,3,1,2,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,4,4,1,4,1,1,3,1,201601002,3
201.0401599,5,2,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,4,1,1,1,3,1,8,1,5,1,1,1,2,3,3,2,3,3,2,2,1,2,1,2,5,1,1,1,1,1,1,1,1,1,1,3,2,2,1,3,2,5,3,2,2,4,1,3,3,1,201601002,3
201.0401599,5,2,4,7,1,5,2,4,2,2,3,6,7,2,2,3,4,3,3,4,6,5,2,2,2,3,1,1,6,3,3,3,2,4,1,1,1,1,1,1,2,1,3,2,2,3,3,3,1,1,5,2,3,2,2,2,3,2,3,6,1,3,2,2,1,2,3,3,5,3,3,1,2,2,1,201601002,3
201.0401599,5,2,4,7,1,6,1,1,1,1,1,3,2,2,2,2,3,2,4,5,3,5,5,2,2,4,1,1,6,3,1,3,3,1,1,1,2,1,2,1,2,2,3,2,2,2,1,1,2,4,,,,2,3,3,4,3,4,5,3,2,1,2,1,2,4,3,4,3,4,1,3,2,2,201601002,3
201.0401599,5,2,4,7,1,6,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,1,1,3,1,1,1,3,3,2,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,3,3,3,4,2,4,1,2,3,1,201601002,3
201.0401599,5,2,4,7,1,6,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,5,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,3,1,1,1,3,3,2,2,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,1,5,1,3,3,4,1,2,3,1,201601002,3
201.0401599,5,2,4,,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,4,1,1,1,3,1,8,1,1,1,1,1,2,2,3,2,2,3,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,1,3,2,4,1,4,1,4,2,2,4,1,201601002,3
201.0401599,5,2,4,,,,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,3,1,1,1,2,3,2,2,3,2,,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,1,2,1,2,1,5,3,,1,,2,1,,,201601002,3
201.0401599,6,2,4,2,1,5,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,5,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,3,2,3,3,2,2,1,1,,2,2,5,5,1,2,1,1,1,1,1,1,1,3,2,1,2,2,5,3,3,3,3,,2,3,1,201601002,3
201.0401599,6,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2,4,1,1,1,1,1,3,1,5,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,1,3,4,1,,1,3,,1,2,,201601002,3
201.0401599,6,2,4,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,5,2,1,1,2,1,2,1,6,1,4,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,3,4,1,5,1,3,1,1,1,1,201601002,3
201.0401599,6,2,4,6,2,1,1,1,1,2,2,2,1,1,2,2,2,2,3,5,3,5,5,5,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,2,2,3,2,2,1,1,1,3,2,6,2,2,2,2,1,1,1,1,1,1,3,2,1,3,2,5,2,4,4,4,3,1,2,1,201601002,3
201.0401599,6,2,4,6,2,1,1,1,1,2,2,2,7,1,2,2,2,2,3,5,7,5,5,5,2,4,1,1,1,1,1,4,1,1,3,1,1,1,3,1,2,2,3,2,2,2,1,1,3,5,6,2,2,2,2,1,1,1,1,1,1,3,2,2,3,2,5,3,4,3,4,1,1,2,1,201601002,3
201.0401599,6,2,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,2,3,1,2,3,3,2,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,5,2,5,3,4,1,2,4,1,201601002,3
201.0401599,6,2,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,4,1,1,1,1,1,8,1,1,3,2,1,2,3,1,1,1,3,2,2,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,2,5,1,4,1,4,1,2,3,1,201601002,3
201.0401599,6,2,4,7,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,5,2,2,2,4,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,3,2,2,1,1,4,3,5,1,1,1,1,1,1,1,1,1,1,3,1,2,1,4,3,5,3,3,1,4,1,2,3,1,201601002,3
201.0401599,6,2,4,,1,6,4,4,2,2,2,5,7,1,2,2,3,2,6,4,6,5,1,1,2,3,1,1,1,1,1,4,1,5,1,2,2,3,1,2,2,3,3,2,2,3,3,3,2,4,6,1,1,2,2,2,2,2,6,1,1,3,2,1,3,2,4,3,4,3,4,2,1,3,1,201601002,3
202.8871887,4,1,4,6,1,5,,,1,1,2,2,5,1,1,2,2,2,3,5,5,1,1,1,2,3,1,1,5,3,3,8,3,5,1,2,1,1,1,1,2,2,1,2,2,3,3,2,2,3,5,4,3,2,2,3,4,3,4,3,3,3,2,3,2,2,4,1,2,1,4,1,2,3,1,201601002,3
202.8871887,5,1,4,6,1,4,,,2,2,1,5,2,2,2,2,1,2,3,2,3,2,1,2,2,3,1,1,1,1,1,3,1,4,1,1,1,1,1,1,2,2,3,2,2,2,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,3,5,3,3,3,4,3,3,3,1,201601002,3
202.8871887,5,1,4,6,1,6,1,1,1,2,1,2,7,2,2,2,1,1,1,1,1,1,2,2,2,4,1,1,1,3,1,3,1,5,3,1,1,1,1,1,2,2,3,2,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,4,3,5,1,4,1,1,3,1,201601002,3
202.8871887,5,1,4,6,1,6,2,2,1,1,2,2,5,1,1,3,3,3,6,3,2,2,2,2,2,4,1,1,5,1,1,5,2,1,1,1,1,3,2,2,2,3,3,2,2,2,3,4,2,4,6,2,2,3,2,2,2,1,1,5,1,2,2,4,4,2,4,2,4,1,4,3,2,2,1,201601002,3
202.8871887,5,1,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,2,1,1,3,1,201601002,3
202.8871887,5,1,4,7,1,2,7,7,,,3,2,2,,,2,3,2,2,3,5,5,1,1,2,,,1,2,3,2,1,3,5,1,1,1,3,1,1,2,3,1,1,2,1,1,4,2,5,1,1,3,3,2,1,3,2,3,2,3,2,2,1,4,3,5,4,4,1,4,1,1,1,1,201601002,3
202.8871887,5,1,4,7,1,5,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,4,1,1,2,3,3,2,3,1,3,2,2,1,1,2,1,5,5,1,1,1,2,2,1,3,1,1,1,3,2,1,4,2,5,1,2,3,4,3,2,1,1,201601002,3
202.8871887,5,1,4,7,1,6,1,1,2,2,2,2,7,1,1,2,2,2,2,5,5,1,1,3,2,3,1,1,1,1,1,6,1,4,3,1,1,1,2,3,2,3,3,2,2,2,2,2,2,4,6,1,1,2,2,2,2,2,2,,1,1,2,1,3,2,4,1,6,1,4,2,1,3,1,201601002,3
202.8871887,5,1,4,7,1,6,3,4,1,1,3,5,5,2,2,3,3,3,2,3,3,2,2,1,2,3,1,1,3,3,3,5,2,4,3,2,1,3,1,1,2,3,3,2,2,3,3,3,1,3,6,2,3,2,2,2,3,3,4,3,3,3,2,3,2,1,4,1,4,1,4,2,1,2,2,201601002,3
202.8871887,5,1,4,7,1,6,7,4,1,1,3,4,7,1,1,3,3,3,3,3,7,5,2,2,2,4,1,1,2,3,3,4,2,4,1,2,1,2,2,1,2,2,2,2,2,4,3,3,2,1,6,3,3,3,2,3,1,3,4,5,3,3,2,3,3,2,4,3,5,3,4,1,2,1,1,201601002,3
202.8871887,5,1,4,,1,6,1,1,,,2,5,7,1,1,2,2,2,2,4,3,5,1,1,2,4,1,1,1,1,1,3,1,5,3,1,2,3,1,1,2,2,3,2,2,1,1,1,3,5,6,5,4,3,6,3,3,4,2,3,3,3,2,3,3,3,3,3,4,3,4,2,2,3,1,201601002,3
202.8871887,6,1,4,3,1,2,2,2,1,1,1,4,2,2,2,2,2,2,4,5,5,5,1,2,2,3,1,2,5,2,5,1,8,1,3,2,1,3,2,1,2,3,1,1,1,1,2,3,3,4,2,2,3,3,2,2,3,1,4,7,2,2,2,1,1,1,5,4,1,2,4,1,1,3,1,201601002,3
202.8871887,6,1,4,3,1,6,2,3,1,1,3,6,7,2,2,3,3,3,5,2,3,2,2,2,2,4,1,1,3,3,3,1,3,4,1,1,1,1,2,1,2,,3,2,2,2,2,4,1,4,1,1,1,2,2,2,3,,1,1,1,1,2,1,4,1,4,5,5,1,4,1,,2,1,201601002,3
202.8871887,6,1,4,4,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,2,1,1,3,1,1,2,1,1,2,2,3,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,3,4,1,4,2,3,3,1,201601002,3
202.8871887,6,1,4,5,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,4,1,2,1,1,1,8,1,1,3,1,1,2,1,3,2,1,3,2,2,2,2,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,1,5,1,4,1,3,4,1,201601002,3
202.8871887,6,1,4,6,,,,,2,,,1,3,2,2,2,3,2,2,1,1,2,2,3,1,2,1,1,3,1,3,1,1,2,2,1,1,1,2,1,3,2,2,2,1,1,2,2,1,2,,2,2,1,2,2,2,1,1,3,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,201601002,3
202.8871887,6,1,4,6,1,6,3,2,2,2,2,7,5,1,2,2,3,2,3,4,3,2,1,2,2,4,1,1,7,3,3,1,3,4,1,1,1,3,3,2,2,2,3,2,2,2,2,1,2,4,6,1,1,2,2,2,1,1,1,1,1,3,2,1,1,1,5,1,5,3,4,1,3,2,1,201601002,3
202.8871887,6,1,4,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,5,1,4,3,4,1,2,3,1,201601002,3
202.8871887,6,1,4,7,1,2,2,3,1,1,1,4,2,1,2,3,3,3,2,5,6,5,5,2,2,4,1,1,3,3,3,4,2,5,1,1,1,2,1,3,2,3,3,2,2,3,2,1,1,4,7,2,2,2,4,2,2,1,1,2,1,2,1,2,2,1,2,2,5,2,3,2,2,1,2,201601002,3
202.8871887,6,1,4,7,1,6,6,5,2,2,3,7,2,1,1,3,3,4,4,2,7,5,5,5,2,4,1,1,3,2,3,2,3,5,1,2,1,2,2,3,2,2,2,2,,1,3,4,2,3,6,4,4,3,7,3,3,3,5,3,3,3,2,3,3,2,3,2,5,3,4,1,1,1,1,201601002,3
202.8871887,6,1,4,7,1,6,7,7,1,2,3,3,7,2,2,3,3,3,2,3,3,2,1,3,2,4,1,1,3,3,3,3,2,5,1,1,2,3,1,3,2,2,3,2,2,3,3,,2,1,1,1,1,1,2,2,2,2,1,5,3,3,2,2,3,2,5,3,4,3,4,1,2,1,1,201601002,3
202.8871887,6,1,4,7,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,2,4,1,4,1,1,1,1,1,8,1,1,3,1,1,3,3,3,2,3,3,2,2,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,2,4,3,5,2,4,1,1,3,1,201601002,3
202.8871887,6,1,4,7,,,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,4,1,5,1,1,2,3,1,1,2,2,3,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,4,1,4,1,4,1,2,1,,201601002,3
202.8871887,6,1,4,,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,5,5,3,2,2,3,2,1,3,3,3,2,3,5,1,1,1,3,2,1,2,3,2,2,2,2,3,3,2,5,6,2,3,3,8,3,4,3,2,3,3,1,2,2,3,2,5,4,2,3,3,1,2,1,2,201601002,3
202.8871887,6,1,4,,1,6,6,7,1,2,3,6,7,2,2,3,3,4,5,2,5,5,5,5,2,3,1,1,3,3,3,3,2,5,1,1,1,2,2,1,2,2,3,2,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,5,2,6,1,4,1,1,3,1,201601002,3
202.8871887,6,1,4,,1,6,7,4,1,1,2,7,7,1,1,3,3,3,2,3,7,1,5,1,2,3,1,1,2,3,2,5,2,5,1,2,1,3,1,2,2,3,3,2,2,3,3,2,1,1,6,3,4,2,2,3,4,3,5,3,3,3,2,3,3,1,1,3,3,1,4,2,2,1,1,201601002,3
202.8871887,6,1,4,,1,6,7,7,1,1,4,3,7,1,2,4,4,3,2,2,2,2,1,1,2,1,1,1,2,3,2,5,2,5,1,1,1,2,1,3,2,2,3,2,1,3,4,2,3,2,,2,6,1,3,3,3,2,2,3,3,3,1,2,2,1,5,3,6,3,3,1,2,4,1,201601002,3
202.8871887,7,1,4,6,1,7,5,7,2,2,2,5,2,2,2,2,3,2,6,2,7,5,3,3,2,4,1,1,2,2,2,3,3,5,1,1,1,3,2,1,2,,2,,2,2,3,2,1,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,1,,2,1,5,3,4,2,2,3,,201601002,3
202.8871887,7,1,4,7,1,6,1,1,1,1,3,3,7,1,2,2,2,2,6,4,7,5,1,1,2,3,1,1,1,1,1,3,1,5,1,1,1,1,3,3,3,1,3,2,2,2,2,3,2,4,6,1,1,1,2,1,1,1,1,1,1,3,2,1,3,3,3,3,3,1,1,2,2,1,1,201601002,3
202.8871887,7,1,4,7,1,7,2,2,1,2,2,2,4,2,2,2,2,2,4,3,5,3,1,1,2,4,1,2,5,1,3,3,3,5,1,,1,1,2,1,3,2,2,1,2,1,1,3,2,5,1,3,4,2,2,2,3,2,2,2,3,3,2,1,4,1,5,3,4,3,4,2,2,1,1,201601002,3
328.2906389,3,1,3,3,1,5,1,1,1,2,2,2,5,1,1,2,3,3,4,3,5,1,1,1,1,4,1,1,1,1,1,4,1,3,1,1,1,1,2,1,1,2,2,2,2,3,3,3,2,4,2,1,1,1,1,1,3,1,1,1,1,1,2,3,3,2,4,3,7,3,4,1,1,3,1,201601002,4
328.2906389,3,1,3,4,1,5,2,3,1,1,1,1,2,1,1,2,2,2,2,2,5,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,3,4,1,4,2,2,3,1,201601002,4
328.2906389,4,,3,1,1,6,1,1,2,2,2,2,2,2,2,3,4,3,2,2,5,1,5,5,1,3,,1,7,2,3,5,2,1,1,2,2,3,3,1,2,2,3,2,2,2,3,2,1,3,1,1,1,1,1,1,1,3,2,1,1,2,1,2,2,2,4,3,4,3,4,1,2,1,1,201601002,4
328.2906389,4,1,3,2,,,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,1,3,1,1,1,3,2,2,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,3,3,1,4,1,2,2,1,201601002,4
328.2906389,4,1,3,3,1,3,1,1,2,2,1,2,1,2,2,2,1,2,6,5,5,1,1,1,1,4,1,1,1,1,1,2,1,1,3,1,2,3,3,2,2,1,3,2,1,1,1,1,2,3,3,1,1,1,2,2,2,2,6,1,1,3,2,2,1,2,4,3,1,1,1,1,2,3,1,201601002,4
328.2906389,4,1,3,3,1,5,1,1,2,2,2,2,1,1,2,2,2,2,1,5,3,2,2,1,2,4,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,1,2,2,2,1,1,2,2,4,5,2,2,2,2,2,2,2,,4,1,1,1,2,1,1,2,5,1,2,,2,2,3,1,201601002,4
328.2906389,4,1,3,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,,,,4,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,3,2,2,2,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2,3,3,7,3,4,2,2,1,1,201601002,4
328.2906389,4,1,3,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,8,1,1,3,1,1,1,3,2,1,3,2,2,2,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,2,5,3,3,3,4,1,3,3,1,201601002,4
328.2906389,4,1,3,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,3,3,2,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,3,3,1,4,1,3,3,1,201601002,4
328.2906389,4,1,3,3,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,8,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,5,1,1,1,2,1,1,1,1,1,3,3,3,2,3,1,2,3,3,4,3,3,1,2,2,1,201601002,4
328.2906389,4,1,3,3,,,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,3,2,1,4,1,1,1,1,1,2,1,1,3,1,1,1,2,1,2,2,3,2,2,1,2,4,2,5,1,1,1,2,1,1,1,1,1,1,1,3,2,1,4,2,5,3,2,2,4,3,3,2,1,201601002,4
328.2906389,4,1,3,4,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,2,1,2,2,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,3,4,1,4,1,2,2,1,201601002,4
328.2906389,4,1,3,5,1,5,1,1,2,2,2,2,5,2,2,2,2,2,3,5,5,1,1,1,2,4,1,1,1,1,1,8,1,2,3,1,1,2,3,1,1,1,3,2,2,1,1,2,3,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,3,2,3,3,5,1,4,1,1,2,1,201601002,4
328.2906389,4,1,3,5,1,5,1,1,2,2,2,2,7,1,2,3,3,2,6,3,3,1,1,4,1,3,1,1,1,1,1,2,1,3,3,1,1,1,2,1,2,1,3,2,2,1,2,3,2,5,5,1,1,2,2,2,3,3,6,1,1,3,2,3,3,2,5,3,4,1,4,1,2,3,1,201601002,4
328.2906389,4,1,3,6,1,6,1,1,2,2,1,2,1,1,2,2,2,2,4,4,5,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,3,2,1,3,3,2,2,1,1,4,2,4,5,1,1,2,2,2,2,1,2,5,1,3,2,2,2,2,4,3,5,1,4,1,2,2,1,201601002,4
328.2906389,4,1,3,6,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,2,1,2,1,1,2,,1,2,2,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,4,3,6,1,4,1,3,4,1,201601002,4
